PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:87	Uniprot	P43064	EMBL	CAA83640	ATCC10231	EFG1						PHI:86	5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Transcription factor	GO:0009405, IGI	GO		Loss of pathogenicity 																gene disruption; complementation			TKB	9298905; 10377153; 10816502; 11595734; 11796627; 12798685	PubMed		
PHI:87	Uniprot	P43064	EMBL	CAA83640	ATCC10231	EFG1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Transcription factor	GO:0009405, IMP	GO	Ras-protein kinase A	Reduced virulence																gene disruption; complementation			TKB	15760450; 10816502; 11595734; 12798685	PubMed	10.1111/j.1462-5822.2004.00476.x	
PHI:88	Uniprot	P41749	EMBL	AAA85279	70	PECA							5059	Aspergillus flavus	5059	12		Dicot	3635	Cotton					Polygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No Data	No Data	Yes												gene deletion; complementation			TKB; KHK	9293005	PubMed		
PHI:89	Uniprot	O42773	EMBL	AAB97372	H99	CNA1							5207	Cryptococcus neoformans	5207	M049	Cryptococcosis		9986	Rabbit					Calcineurin A catalytic subunit/ Serine/threonine phosphatase 2B	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			MU; KHK	9184205	PubMed	10.1093/emboj/16.10.2576	
PHI:95	Uniprot	P53707	EMBL	AAB66368	ATCC 26555	CSP37							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Membrane protein	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	9244249	PubMed		
PHI:96	Uniprot	P43098	EMBL	AAA34345	4918	FAS2							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Fatty acid synthetase	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			TKB	9009352	PubMed		
PHI:96	Uniprot	P43098	EMBL	AAA34345	4918	FAS2							5476	Candida albicans	5476		Candidiasis		10114	Rat					Fatty acid synthetase	GO:0009405, IMP	GO		Loss of pathogenicity 																			TKB	8828218	PubMed		Oropharyngeal candidiasis
PHI:97	Uniprot	Q92215	EMBL	AAC62818	SB111	TOXC							5017	Cochliobolus carbonum	5017	164R10	Leaf spot	Monocot	4577	Maize					Fatty acid synthetase	GO:0009405, IMP; GO:0044412	GO	HC-toxin biosynthesis	Reduced virulence		No	No	Yes				Wild type	Wild type							gene disruption			TKB; JA	9057326	PubMed		
PHI:98	Uniprot	O13394	EMBL	AAB84284	518	umCHS5							5270	Ustilago maydis	5270	FB1, FB2	Corn smut	Monocot	4577	Maize					Chitin Synthase	GO:0009405, IMP	GO		Reduced virulence	No	No Data	No Data	No Data				Reduced								gene deletion; complementation			TKB	9454647	PubMed		
PHI:99	Uniprot	Q8J0D1	EMBL	BAC41196	Guy11	ACR1							318829	Magnaporthe oryzae			Rice blast	Monocot	4530	Rice					Putative transcription factor	GO:0009405, IMP; GO:0044409, IMP	GO		Loss of pathogenicity 		Yes	Yes	Yes												gene deletion; complementation			MU	9742203	PubMed		Plasmid insertion
PHI:100	Uniprot	Q99079	EMBL	AAA75366	strain 518 (a2b2)	ADR1							5270	Ustilago maydis	5270	d132, 518, 521	Corn smut	Monocot	4577	Maize					PKA catalytic subunit	GO:0009405, IMP; GO:0051701	GO		Loss of pathogenicity 																gene disruption			MU	9576944	PubMed		
PHI:101	Uniprot	O59897	EMBL	AAC39471	B-5233	ALB1							746128	Aspergillus fumigatus	746128	B-5233	Respiratory disease		10090	Mouse					Polyketide synthase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; altered gene expression / gene regulation: overexpression; complementation			TKB	9620950; 11040426 	PubMed		
PHI:103	Uniprot	O94100	EMBL	AAC64374	SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mold rot	Dicot	4081	Tomato					Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes												gene disruption			MU	9768518	PubMed		Tested on tomato leaves
PHI:103	Uniprot	O94100	EMBL	AAC64374	SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mold rot	Dicot	4081	Tomato					Endopolygalacturonase	GO:0009405, IMP, GO:0044412	GO		Reduced virulence		No	No	Yes												gene disruption			MU	9768518	PubMed		Tested on tomato fruits
PHI:103	Uniprot	O94100	EMBL	AAC64374	SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mold rot	Dicot	3750	Apple					Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes												gene disruption			MU	9768518	PubMed		Tested on apple fruits
PHI:104	Uniprot	Q00310	EMBL	CAA67930	CAI-4	CaMNT1							5476	Candida albicans	5476	CAI-4	Candidiasis		10141	Guinea pig					Synthesis of mannoproteins	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	9636208	PubMed		
PHI:104	Uniprot	Q00310	EMBL	CAA67930	CAI-4	CaMNT1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Synthesis of mannoproteins	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	9636208; 10766761 	PubMed	10.1074/jbc.M909699199	
PHI:105	Uniprot	Q9UWF6	EMBL	AAC61890	SC5314	PLB1							5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					Phospholipase B	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	9748287; 11535799	PubMed		
PHI:106	Uniprot	O13289	EMBL	AAC39448	ATCC 10261	CAT1							5476	Candida albicans	5476	ATCC 10261	Candidiasis		10090	Mouse					Catalase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	9573075	PubMed		
PHI:107	Uniprot	Q5A1D3	EMBL	EAK96519	SC5314	CEK1							5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					MAP kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	9596738; 9741091	PubMed		FUS3/KSS1 homologue
PHI:109	Uniprot	P87248	EMBL	AAB61403	UPS9	CLK1							290576	Colletotrichum lindemuthianum	290576	UPS9	Anthracnose	Dicot	3885	Bean					Protein kinase (Ser/thr)	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Reduced virulence		No	Yes	Yes												gene deletion			MU; JK	9450334	PubMed		Partial gene deletion
PHI:111	Uniprot	Q01905	EMBL	AAB49807	88069	INF1							4787	Phytophthora infestans	4787	88069	Late blight	Dicot	4113	Potato					Effector protein				Effector (plant avirulence determinant)																gene disruption			MU	9724689	PubMed		
PHI:112	Uniprot	Q01446	EMBL	AAC49410	156-30-6	MAK1							140110	Nectria haematococca (related: Fusarium solani)	140110	230-30-6	Root rot	Dicot	3827	Chickpea					Maackiain detoxification	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB		Not in PubMed		
PHI:113	Uniprot	O13352	EMBL	AAC63682	Guy11	MPS1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice					MAP kinase	GO:0009405, IMP; GO:0044409	GO	osmotic sensing	Loss of pathogenicity 		No 	Yes	No		Reduced										gene deletion; complementation			MU	9770551	PubMed		SLT2 homologue; Cloning by PCR
PHI:114	Uniprot	O00094	EMBL	AAC05015	42-87	PG1							5507	Fusarium oxysporum	5507	42-87 (race2)	Vascular wilt	Dicot	4081	Tomato					Endopolygalacturonase				Unaffected pathogenicity										pectin and galacturonic acid						complementation			MU; AB	9450333	PubMed		Expression during all infection stages; Gene introduction to naturally deficient strains
PHI:115	Uniprot	Q00359	EMBL	AAC26146	SB111	PGX1							5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocot	4577	Maize					Exopolygalacturonase				Unaffected pathogenicity																gene disruption			MU; JA	9546185	PubMed		
PHI:116	Uniprot	O60026	EMBL	CAA76740	ATCC46645	PKSP							746128	Aspergillus fumigatus	746128	ATCC46645	Respiratory disease		10090	Mouse					Polyketide Synthase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	9832321	PubMed		
PHI:120	Uniprot	O42620	EMBL	AAB88887	4091-5-8; 4091-5-8	PTH2							318829	Magnaporthe oryzae		4091-5-8 and CP987	Rice blast	Monocot	4530	Rice					Carnitine acetyl transferase	GO:0009405, IMP	GO	fatty acid oxidation	Loss of pathogenicity 		No Data	No Data	No Data												gene disruption; complementation			MU	9574508	PubMed		Identification by REMI
PHI:121	Uniprot	O42621	EMBL	AAB88888	4091-5-8	PTH3							318829	Magnaporthe oryzae		4091-5-8 and CP987	Rice blast	Monocot	4530	Rice					Imidazole glycerol phosphate dehydrogenase	GO:0009405, IMP	GO	histidine biosynthesis	Loss of pathogenicity 		No Data	No Data	No Data		Wild type	Wild type	Wild type	Wild type							gene disruption; complementation			MU	9574508	PubMed		Identification by REMI
PHI:122	Uniprot	O42624	EMBL	AAB88886		PTH8							318829	Magnaporthe oryzae		9041-5-8	Rice blast	Monocot	4530	Rice					Pathogenicity protein	GO:0009405, IMP	GO		Reduced virulence		No Data	No Data	No Data												gene disruption; complementation			MU	9574508	PubMed		Identification by REMI
PHI:123	Uniprot	O42622	EMBL	AAB88889	4091-5-8	PTH9 (NTH1)							318829	Magnaporthe oryzae		9041-5-8	Rice blast	Monocot	4530	Rice					Trehalase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes		Reduced										gene disruption; complementation			MU	9574508; 12514128 	PubMed		Identification by REMI
PHI:124	Uniprot	P53705	EMBL	AAA96019	10261	INT1							5476	Candida albicans	5476	10261	Candidiasis		10090	Mouse					Integrin	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	9478896; 10444345; 10600356; 10847632	PubMed		
PHI:125	Uniprot	P43093	EMBL	AAA17877	WO1	SAP4						PHI:126; PHI:127	5476	Candida albicans	5476	SC5314	Candidiasis		10141	Guinea pig					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295  	PubMed		
PHI:125	Uniprot	P43093	EMBL	AAA17877	WO1	SAP4						PHI:126; PHI:127	5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295  	PubMed		
PHI:126	Uniprot	P43094	EMBL	CAA82923	Ca74	SAP5						PHI:125; PHI:127	5476	Candida albicans	5476	SC5314	Candidiasis		10141	Guinea pig					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295; 11796627	PubMed		
PHI:126	Uniprot	P43094	EMBL	CAA82923	Ca74	SAP5						PHI:125; PHI:127	5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295; 11796627	PubMed		
PHI:127	Uniprot	P43095	EMBL	CAA82924	Ca74	SAP6						PHI:125; PHI:126	5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295 	PubMed		
PHI:127	Uniprot	P43095	EMBL	CAA82924	Ca74	SAP6						PHI:125; PHI:126	5476	Candida albicans	5476	SC5314	Candidiasis		10141	Guinea pig					Aspartyl proteinase	GO:0009405, IGI	GO		Reduced virulence																gene disruption			TKB	9284117; 9485603; 9632257; 9841840; 10569785; 10540295 	PubMed		
PHI:128	Uniprot	O14448	EMBL	AAC34140	Guy11	SUM1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice					PKA regulatory subunit			cAMP signalling	Unaffected pathogenicity																mutation: characterised			MU	9707535	PubMed		Point mutation
PHI:129	Uniprot	O59900	EMBL	AAC39450	B-4500	CAP60							5207	Cryptococcus neoformans	5207	B-4500	Cryptococcosis		10090	Mouse					Capsule associated protein	GO:0009405, IMP	GO		Reduced virulence																gene deletion; complementation			TKB; SH	9573112	PubMed		
PHI:130	Uniprot	Q92410	EMBL	CAA69223		TPS1							5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					Trehalose-6-phosphate synthase	GO:0009405, IMP; GO:0003825, NAS	GO		Reduced virulence																gene disruption; complementation			TKB	9683476; 14587100	PubMed	10.1002/yea.1029	
PHI:131	Uniprot	O93842	EMBL	AAD12756	NRRL 3299	TRI12							5514	Fusarium sporotrichioides	5514	NRRL3299	Fusarium ear blight	Monocot	4564	Wheat					Toxin efflux pump 			trichothecene secretion	Unaffected pathogenicity																gene disruption			MU; AB	10485289	PubMed		
PHI:132	Uniprot	O13407	EMBL	AAB86640	Guy11	ABC1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice					ABC transporter	GO:0042626; GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes		Yes										gene deletion			MU	9927411	PubMed	10.1093/emboj/18.3.512	Partial gene deletion
PHI:133	Uniprot	O93800	EMBL	BAA36588	15A	AKT1							5599	Alternaria alternata	5599	15A	Black spot	Dicot	23211	Pear					Carboxyl-activating enzyme, essential for AK Toxin	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes												gene disruption			TKB	10432635	PubMed		
PHI:134	Uniprot	O93801	EMBL	BAA36589	15A	AKT2							5599	Alternaria alternata	5599	15A	Black spot	Dicot	23211	Pear					Unknown, mutant is AK toxin non-producer	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes												gene disruption			TKB	10432635	PubMed		
PHI:135	Uniprot	A4D962	EMBL	AAA91036	ATCC 26199	BAD1 (WI-1)							5039	Blastomyces dermatitidis	5039	ATCC26199, ATCC60915			10090	Mouse					Adhesin	GO:0009405, IMP	GO		Loss of pathogenicity 																gene deletion; complementation			TKB	10209038; 12023375; 16243837	PubMed		
PHI:136	Uniprot	Q5AHA0	EMBL	AAC39451	SC5314	CaHK1 (CHK1)							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	10417206; 14734021; 15470110	PubMed		Heterozygous disruption
PHI:136	Uniprot	Q5AHA0	EMBL	AAC39451	SC5314	CaHK1 (CHK1)							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	10572127; 14734021; 15470110	PubMed		
PHI:136	Uniprot	Q5AHA0	EMBL	AAC39451	SC5314	CaHK1 (CHK1)							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Histidine Kinase	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			TKB	10417206; 14734021; 15470110	PubMed		Homozygous disruption
PHI:136	Uniprot	Q5AHA0	EMBL	AAC39451	SC5314	CaHK1 (CHK1)							5476	Candida albicans	5476	CAI-4	Candidiasis		10114	Rat					Histidine Kinase	GO:0009405, IMP	GO		Unaffected pathogenicity																gene disruption; complementation			TKB	10417206; 14734021; 15470110	PubMed		
PHI:138	Uniprot	O42696	EMBL	BAA24952		CaNIK1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	10572127	PubMed		
PHI:139	Uniprot	Q7ZA26	EMBL	BAC76819	CBS131	CAP10							5207	Cryptococcus neoformans	5207	cap10-F2F0	Cryptococcosis		10090	Mouse					Capsule formation	GO:0009405, IMP	GO		Reduced virulence																gene deletion; complementation			TKB; KHK	10482503	PubMed		
PHI:140	Uniprot	O42695	EMBL	BAA24951		CaSLN1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Histidine Kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	10572127	PubMed		
PHI:141	Uniprot	O93886	EMBL	AAC78076	PR	CFP							84275	Cercospora kikuchii	84275	PR	Leaf blight and purple seed stain	Dicot	3847	Soybean					Cercosporin secretion	GO:0009405, IMP	GO		Reduced virulence		No Data	No Data	No Data												gene disruption; complementation			MU	10517030	PubMed		
PHI:142	Uniprot	Q9UVN7	EMBL	AAF05913	C4	CHK1							5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocot	4577	Maize					MAP kinase	GO:0009405, IMP	GO		Reduced virulence		No	No	No Data		No conidia	Sterile	Reduced								gene disruption			MU	10557357; 12671080	PubMed		FUS3/KSS1 homologue
PHI:143	Uniprot	P32964	EMBL	AAA33353	T-442	CHT							5563	Gloeocercospora sorghi	5563	T-442	Leaf spot/blight	Monocot	4558	Sorghum					Cyanide hydratase				Unaffected pathogenicity																gene disruption			MU	10587474	PubMed	10.1006/fgbi.1999.1167	Expression during infection stage (HCN)
PHI:144	Uniprot	O59928	EMBL	AAC05829		CHT42							29875	Trichoderma virens	29875	Tv10.4	Mycopathogen 		107832	Rhizoctonia solani					Chitinase	GO:0009405, IMP	GO		Reduced virulence																gene deletion; altered gene expression / gene regulation: overexpression			TKB	10022948	PubMed		
PHI:146	Uniprot	O42793	EMBL	AAC04355		CT-PKAC							5466	Colletotrichum trifolii	5466		Anthracnose	Dicot	3879	Alfalfa					PKA catalytic subunit	GO:0009405, IMP; GO:0044409	GO	cAMP signalling	Loss of pathogenicity 		No	Yes	No		Altered production of conidia										gene deletion			MU	10226376	PubMed		
PHI:149	Uniprot	Q92207	EMBL	CAA62214	1001	HOG1							5476	Candida albicans	5476	SC5314	Candidiasis		10090	Mouse					MAP Kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	10322006	PubMed		HOG1 homologue
PHI:151	Uniprot	Q9UQY5	EMBL	AAF15528	a2b3	KPP2							5270	Ustilago maydis	5270	FB1. FB2, CL13	Corn smut	Monocot	4577	Maize					MAP kinase	GO:0009405, IMP; GO:0051701; GO:0005186, IMP	GO		Reduced virulence	Yes	Yes	No Data	No Data												gene disruption; complementation			MU	10594825	PubMed		FUS3/KSS1 homologue
PHI:153	Uniprot	Q9UV51	EMBL	AAF09475	Guy11	OSM1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice					MAP kinase				Unaffected pathogenicity																gene deletion			MU	10521531	PubMed		HOG1 homologue
PHI:156	Uniprot	Q9Y8E5	EMBL	AAD44111	H99	STE12alpha							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis		9986	Rabbit					Transcription factor				Unaffected pathogenicity																gene disruption; complementation			TKB; KHK	10581270	PubMed		Serotype A
PHI:156	Uniprot	Q9Y8E5	EMBL	AAD44111	H99	STE12alpha							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis		10090	Mouse					Transcription factor				Unaffected pathogenicity																gene disruption; complementation			TKB; KHK	10581270	PubMed		Serotype A
PHI:157	Uniprot	Q9Y885	EMBL	AAD45321	SB111	TOXF							5017	Cochliobolus carbonum	5017	164R10	Leaf spot	Monocot	4577	Maize					Branched-chain-amino-acid aminotransferase	GO:0009405, IMP	GO		Loss of pathogenicity 		No Data	No Data	No Data												gene disruption			MU; JA	10627051	PubMed		
PHI:158	Uniprot	O59918	EMBL	AAC09291	521	UKC1							5270	Ustilago maydis	5270	d132, UT0305, ISO1-1	Corn smut	Monocot	4577	Maize					Protein kinase	GO:0009405, IMP; GO:0044409	GO		Reduced virulence	No	Yes	Yes	No Data												gene deletion			MU	10102363	PubMed		
PHI:159	Uniprot	O74686	EMBL	AAC62627	G184AS	URA5							5037	Histoplasma capsulatum	5037	G184AS	Histoplasmosis (pulmonary disease)		10090	Mouse					Pyrimidine biosynthesis	GO:0009405, IMP	GO		Loss of pathogenicity 																gene deletion; complementation			TKB	9916068	PubMed		
PHI:160	Uniprot	Q9UVN5	EMBL	AAF01762 	M-71	AMT							5599	Alternaria alternata	5599	M-71	Alternaria leaf blotch	Dicot	3750	Apple					AM toxin synthase	GO:0009405, IMP; GO:0044409	GO	toxin synthesis	Loss of pathogenicity 		No Data	Yes	No Data												gene disruption			MU	10875335	PubMed		
PHI:161	Uniprot	Q9HG08	EMBL	AAG23132	BC29; BC29	BMP1							40559	Botrytis cinerea	40559	A-1-3	Grey mold rot	Dicot	3570	Carnation					MAP kinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		Yes	Yes	Yes		Wild type										gene deletion; complementation			MU	10875333	PubMed		FUS3/KSS1 homologue, Carnation flowers
PHI:161	Uniprot	Q9HG08	EMBL	AAG23132	BC29; BC29	BMP1							40559	Botrytis cinerea	40559	A-1-3	Grey mold rot	Dicot	4081	Tomato					MAP kinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		Yes	Yes	Yes		Wild type										gene deletion; complementation			MU	10875333	PubMed		FUS3/KSS1 homologue, Tomato leaves
